id,name,description,hotel_id,created_at,updated_at
2,Room Service,"Room service allows guests to order food, beverages, or other amenities directly to their rooms for convenience and privacy.",1,2024-01-08 22:20:45 +0530,2024-01-08 22:20:45 +0530
3,Housekeeping,"Housekeeping services include cleaning and maintaining guest rooms, changing linens, and ensuring a comfortable and tidy environment.",1,2024-01-08 22:21:04 +0530,2024-01-08 22:21:04 +0530
4,Wi-Fi and Internet Access," hotel provide complimentary Wi-Fi and internet access to guests, enabling them to stay connected during their stay.",1,2024-01-08 22:21:34 +0530,2024-01-08 22:21:34 +0530
5,Concierge,"The concierge assists guests with various tasks, such as booking reservations, arranging transportation, and providing information about local attractions.",1,2024-01-08 22:21:50 +0530,2024-01-08 22:21:50 +0530
6,Fitness Center,Hotels often have on-site fitness centers equipped with exercise machines and sometimes offer fitness classes or personal training sessions.,1,2024-01-08 22:22:18 +0530,2024-01-08 22:22:18 +0530
7,Swimming Pool,"A swimming pool provides guests with a recreational option, allowing them to relax and unwind during their stay.",1,2024-01-08 22:22:37 +0530,2024-01-08 22:22:37 +0530
8,Conference and Event Facilities,"For business travelers or event organizers, hotels may have meeting rooms and banquet halls equipped for conferences, seminars, or social events.",1,2024-01-08 22:23:09 +0530,2024-01-08 22:23:09 +0530
9,24-Hour Security,"Hotels prioritize guest safety with 24-hour security measures, including surveillance, key card access, and trained staff.",1,2024-01-08 22:23:48 +0530,2024-01-08 22:23:48 +0530
1,Front Desk/Reception,"The front desk is the central hub of the hotel, where guests check-in, check-out, and get information about hotel services.",1,2024-01-08 22:20:26 +0530,2024-01-12 13:55:28 +0530
10,Arden Vazquez,Esse blanditiis del scscwv vwvwv wevwvw wvwvw wrbrerb ebeb rbtrbrb rtr,2,2024-02-05 16:50:06 +0530,2024-02-05 16:50:06 +0530
